问题,回答
【腾讯】Go岗-三轮详细面经,"更新 9月22日 意向书
更新 9月7日云证 状态更新已完成
老天保佑别有什么幺蛾子 不然我哭死?
太不容易了 今年优图没hc 腾讯实习了个寂寞 但是没想到提前批还挺顺利（毕竟面试部门缺人 加班到妻
离子散
磕磕绊绊地复习 其他大厂都秒挂 只求去tx加班了
发个1~3面+hr面的面经，顺便求hr面顺利早日oc！
本人java选手，实习是python，腾讯要求go。
1、问实习项目（没细问）
2、问go的掌握程度
3、网络
（1）TCP第四次挥手客户端的状态
（2）大量time_wait会有什么问题，time_wait的时候能不能有别的客户端来请求服务器的服务
（3）TCP全连接和半连接队列（不会）
（4）滑动窗口已经发送序号为1、2、3的包，此时接收端发送ACK=4，问滑动窗口是否会移动？
（5）http状态码
（6）https的握手过程，双方通信是非对称还是对称
（7）你知道什么加密算法（不知道）
（8）（nginx）负载均衡的几种方式
4、操作系统
（1）孤儿进程、僵尸进程
（2）进程的通信方式
（3）进程的调度方式（最短作业优先的缺点）
（4）你用过什么linux命令（我就说了ps -ef|grep xxx哈哈哈）
5、数据库
（1）一般用什么数据结构作索引，为啥
（2）实际项目中数据库的使用程度
（3）你知道乐观锁和悲观锁嘛
6、算法题
搜索旋转排序数组（lc原题）
1、问实习项目
2、操作系统
（1）怎么创建进程/怎么运行sh文件/怎么创建后台进程（说了nohup，问了nohup和普通终端运行的区别）
（2）怎么看进程的状态（具体信息）
（3）文件读写权限对应的数字（chmod，不会只知道777）
（4）你知道父进程和子进程嘛？fork()？
3、计算机网络
（1）http状态码（304不会）
（2）301和302的区别
（3）cookie和session的区别
4、数据库
（1）怎么给已经建好的表的字段创建索引（不会）
（2）你了解数据库的什么东西？（说了索引和事务）
（3）事务是怎么实现的？（应该说日志的….）
（4）事务里对哪些数据上锁
（5）数据库删表的方式（delete和truncate的区别，不会）
（6）数据库乐观锁的实现
5、算法题
寻找走到右下角的可行路径，并输出路径结果，有障碍物，四个方向都能走。
1、问实习项目
2、对自己的评价？
3、base的倾向？
4、将来的发展规划？
5、算法题：最短路径和，直接牛客上的输入输出。
6、反问环节
1、问实习
（1）为什么没转正
（2）实习做了什么
（3）实习的难点是什么
（4）平时会跟mentor沟通嘛
（5）从同事那里学到了什么
（6）会做复盘嘛？
2、问未来规划
3、问会自己去学习一些什么技术嘛
4、问哪里人，base倾向
5、有家人在腾讯工作嘛？爸妈是干嘛的？爸妈支持你的工作嘛
6、问实习部门的工作强度，对加班怎么看（暗示加班咯）
7、问还有啥别的公司在流程中
反问：
1、顺利的话之后要多久出结果，答3~5个工作日
2、工作强度，答目前有很大的发挥空间，不如其他电商产品那么成熟细致，分工明确
我相信tx是爱我的！
Go开发
腾讯面经
腾讯面试

ㅤ普通"
【腾讯】Go岗-四轮技术面+HR面,"背景：大三软工Gopher，清明假后突然被捞，开启滨海意难忘2.0
自我介绍
项目相关
算法相关 (PS: 没有手撕，只讲思路)
基础知识
自我介绍
项目相关
算法相关(PS: 没有手撕，只讲思路)
基础知识
其它补充
自我介绍
项目相关
基础知识
其它补充
自我介绍
基础知识
其它补充
总结：六天已经过去可以迎来全剧终吗，许愿OC啊啊啊（4.23 速来还愿，今天下午OC啦~肥肠感谢牛
客！)
Go开发
腾讯面经
腾讯面试

ㅤ普通"
字节跳动Go岗开发面经汇总,"本系列将提供字节跳动Go岗历年面经，所有面经都有候选人面试之后根据回忆整理而出，大家可以通过面经来复习以及看看字节跳动面试难度。
为了方便大家复习，这些面试题的展示采取了右边面试题目，左边答案的方式，方便大家按需查看。
由于手机端不支持这种展示方式，当然，为了手机方便阅读，下面会贴出所有面试题答案链接，不过大家最好在 PC 电脑端阅读哈，相关面试题还会持续更新，尽量补充完善起来，建议收藏帅地的网站哦。
1. 【字节跳动】Go岗-秋招后端提前批
1. 【字节跳动】Go岗-秋招后端提前批
2. 【字节跳动】Go岗-后端高频面试题
2. 【字节跳动】Go岗-后端高频面试题
3. 【字节跳动】Go岗-懂车帝的后台日常实习
3. 【字节跳动】Go岗-懂车帝的后台日常实习
4. 【字节跳动】Go岗-后台开发社招面经
4. 【字节跳动】Go岗-后台开发社招面经
5. 【字节跳动】Go岗-热乎的后端面经(四轮已拿offer)
5. 【字节跳动】Go岗-热乎的后端面经(四轮已拿offer)
6. 【字节跳动】Go岗-被data系统架构部门捞起来了
6. 【字节跳动】Go岗-被data系统架构部门捞起来了
7. 【字节跳动】Go岗-社招三轮附学习感想与经验
7. 【字节跳动】Go岗-社招三轮附学习感想与经验
8. 【字节跳动】Go岗-教育业务后台开发
8. 【字节跳动】Go岗-教育业务后台开发
9. 【字节跳动】Go岗-data后端暑期实习
9. 【字节跳动】Go岗-data后端暑期实习
10. 【字节跳动】Go岗-抖音后端实习
10. 【字节跳动】Go岗-抖音后端实习
Go开发岗
字节跳动面试

ㅤ普通"
【字节跳动】Go岗-秋招后端提前批,"岗位：后端开发工程师
地点：杭州
主要还是在聊项目，没有考别的基础知识了
总的来说，面试的时候还是有很多的不足，每次面试都是一次学习的过程。
Go开发岗
字节跳动面试

ㅤ普通"
【字节跳动】Go岗-后端高频面试题,"三面体验很差， 先是面试官迟到，后来面试官说中途离开10分钟，结果离开了一小时还没回来，然后我找到hr，发现他去开会去了，hr说这次面试结束。 第一次遇见这样面试的。三面后是hr面，感觉hr很傲慢，可能是我要的有点多，又加了一面技术面四面。
Go开发岗
字节跳动面试

ㅤ普通"
【字节跳动】Go岗-懂车帝的后台日常实习,"背景：
研一，非科班，Top2；
之前一直不知道以后做些什么，疫情期间和其他人交流之后决定走开发，大概开始学习是6月上旬；
在同学的怂恿下投了懂车帝的后台开发日常实习，每天就一直在疯狂地刷题、看书、看面经，因为实在不太自信；
慌手慌脚地就投了，突然就要开始面试了，其实自己知道还缺不少斤两。
技术栈主要是 Go，项目写了简单的网站、简易的分布式缓存、实现了 Raft 协议；
然后力扣刷题大概刷了 200 题，主要是树、双指针、剑指和其他一些乱七八糟的，
其实刷的题目都比较简单，高中学过竞赛可能会稍微熟悉一点（其实早忘光了）；
个人前一个月主要在补操作系统、计算机网络之类的知识；
看的东西比较多，但是都不深入，导致面试问啥能讲点但是深入就 GG。
字节的效率太快了，快到我措手不及，傍晚投完简历晚上就过了，第二天大睡午觉的时候 HR 电话过来要约面试；
而且前一天晚上吃了冰西瓜几年没发作老肠胃病怒犯，凌晨就去医院挂水了，属实惨；
也就是说面试前的准备时间，基本用来磨磨蹭蹭恢复身体上了，而且也就两天时间。
自我介绍，非科班问了一些问题，为什么转开发；
算法：
两数之和，讲了 O(n) 时间的算法，再改用 O(1) 的空间，用快排排序，问了时空效率，让改成非递归快排；
进程和线程的区别；
进程间通信的方式；
TCP 连接的客户端和服务端状态。
自我介绍，问了非科班的问题，学习和规划是怎么做的，和科班比有哪些不足，之类的；
LRU 算法里面，键值的存储形式，值 interface；
interface 不是个好的形式，会导致 GC 压力大，为啥，那用什么形式比较好；
goroutine 里面 panic 了会怎么样；
map 是否是并发安全的，不是如何做到，还有什么其他方法；
不加锁并发读写 map 会出现什么问题；
redis的数据类型；
redis的 zset 底层是如何实现的，zset 根据 member 查询 score 的效率，zset 获取排名的效率；
raft 解决了什么问题；
raft 脑裂是怎么解决的；
提出一个场景，根据 raft 协议接下来会怎么样；
虚拟内存的概念，为什么要保护物理内存；
页面置换算法；
session 和 cookie，为什么用 sessionId 不用 uid；
算法，给出字符串和字符，等概率地输出一个字符所在的位置；
再写个 SQL 查询。
体验：
一面很快就结束了，非递归快排没见过但是也能很快写出来，然后空间效率也算出来了。
二面还是比较难，不少是从项目延伸开来，然后更加深入和更偏工程化，经验不足的就答不上来，倒是 raft 可能讲得比较详细；
操统和计网的知识没怎么考察，Go 的考察了但是正好没准备到，之前看过忘了；
算法题偏数学了，没抽象出来，提示了一下发现高中甚至初中时候绝对碰见过，还是想不出来，再交流突然就抽象出来了。
个人感觉字节的面试可能还是比较少看你背书的情况；
最好就是能以自己的语言讲出来，尤其是项目的问题，要有自己的理解，最好再越过本身更深入一些。
两次面试间隔很短，确实还是蛮耗体力的，尤其是知识水平不够答不出来的时候，挠挠头皮硬撑过去；
二面真的是发现自己还缺太多东西，然后面试官也很好，给我讲了好多需要努力的地方，然后鼓励我好好加油，还问了之后的规划。
总结就是面试体验极好，感谢面试官，而且还是能认识到好多不足的地方，以后继续加油，再许个愿！！！
Go开发岗
字节跳动面试

ㅤ普通"
【字节跳动】Go岗-后台开发社招面经,"1、请详细描述三次握手和四次挥手的过程，要求熟悉三次握手和四次挥手的机制，要求画出状态图。
2、四次挥手中TIME_WAIT状态存在的目的是什么？
3、TCP是通过什么机制保障可靠性的？（从四个方面进行回答，ACK确认机制、超时重传、滑动窗口以及流量控制，深入的话要求详细讲出流量控制的机制。）
4、描述线程、进程以及协程的区别？
5、GO语言中的协程与Python中的协程的区别？
6、网络IO模型有哪些？（5种网络I/O模型，阻塞、非阻塞、I/O多路复用、信号驱动IO、异步I/O）
7、I/O多路复用中select/poll/epoll的区别？
8、客户端访问url到服务器，整个过程会经历哪些？
9、描述HTTPS和HTTP的区别。
10、HTTP协议的请求报文和响应报文格式。
11、HTTP的状态码有哪些？
12、描述一下redis有哪些数据结构。（基础的数据结构有5种，String/List/Hash/Set/Zset；高级数据结构有：HyperLogLog/BitMap/BloomFilter/GeoHash）
13、面试官还问了BloomFilter的原理以及Zset的实现原理。
14、MySQL场景题目（面试官提供场景，要求写出查询SQL，考察联合语句，如何分页以及复杂语句的优化）
15、裸写算法：树的非递归先序遍历。
1、先详细介绍最近的项目，之前项目经验里写了一个分布式的项目，面试官着重讨论了这个项目的实现方案，引申出分布式事务以及分布式一致性等问题，同时会要求在当前项目的基础上附加条件，要求提供解决方案。
2、还问了一些API业务的架构问题，负载均衡、CDN、DNS等问题。
3、也问到了HTTP相关问题，要求描述HTTP的版本之间的区别，主要是1.0/1.1/2.0三个版本的区别。
4、裸写算法：回行矩阵遍历。
1、首先也是考察项目经验，但是着重系统设计，会抽一段之前的项目经验(跟二面的经验肯定不同)，要求你描述目前的方案，以及缺点。
2、要求模块化，如果要求对目前系统做微服务架构，如何进行服务的拆分，拆分的规则是什么，考察微服务架构相关知识，服务治理（限流、降级、熔断）。
3、裸写算法：二叉树多个节点的最近公共祖先。
Go开发岗
字节跳动面试

ㅤ普通"
【字节跳动】Go岗-热乎的后端面经(四轮已拿offer),"个人情况
211本 工作两年半 一直在写C++
面试部门
字节跳动上海穿山甲团队
面试时间
10.20-11.14
算法题：LRU缓存实现，要求set\get操作o(1)时间复杂度，leetcode有原题
技术问题：
算法题：一个N位数K，从N位中去掉M个数字，使剩下的数字最大，leetcode有类似题
技术问题：
算法题：单链表排序
（聊了很长时间的项目经验，问了啥问题已经是想不起来了…）
技术问题：
算法题：二叉查找
技术问题：
Go开发岗
字节跳动面试

ㅤ普通"
【字节跳动】Go岗-被data系统架构部门捞起来了,"投了武汉字节，简历挂
被北京data系统架构部门捞起来了
基础：
设计题：
算法题：
主要问的项目
与项目无关的基础：
高等数学：
算法题：
更新一下，今天拿到offer辣！
Go开发岗
字节跳动面试

ㅤ普通"
【字节跳动】Go岗-社招三轮附学习感想与经验,"简单介绍下背景：本人已工作两年，这次属于社招，不是校招哦！投递的岗位base是北京。
算法题：
给出两个 非空 的链表用来表示两个非负的整数。其中，它们各自的位数是按照 逆序 的方式存储的，并且它们的每个节点只能存储 一位 数字。
如果，我们将这两个数相加起来，则会返回一个新的链表来表示它们的和。
您可以假设除了数字 0 之外，这两个数都不会以 0 开头。
示例：
输入：(2 -> 4 -> 3) + (5 -> 6 -> 4)
输出：7 -> 0 -> 8
原因：342 + 465 = 807
算法题：
给定一个数组代表股票每天的价格，请问只能买卖一次的情况下，最大化利润是多少？日期不重叠的情况下，可以买卖多次呢？
输入: {100, 80, 120, 130, 70, 60, 100, 125}
1）只能买一次：65（60 买进，125 卖出）
2）可以买卖多次: 115（80买进，130卖出；60 买进，125卖出）
输出买卖的序列和最大利润
自我介绍；
介绍项目情况，重点说了近一年的工作项目的大概；
研究生在校的研究内容之类的，比较杂；
项目中的技术亮点：了解几个，面试官貌似对这些也不是很感兴趣，这估计也是后面他觉得我没有成长的原因吧，可能认为这些东西我在之前就应该都学会了的；
实现简单令牌桶算法，没有考虑随时间滑动的情况；
加强版：令牌桶，加上随时间滑动的要求，即：限制用户在任一连续的一小时内，不能超过5W的请求。这边提到了说将一小时分成多格，比如60格这样的，面试官点头貌似同意了，然后就实现代码了，包括协程异步更新时间窗口；
没有基础知识问答；
没有算法题；
三面反问环节，问：我咋样？（措辞是： 这简短的面试交谈过程中，您觉得我咋样？）
面试官说，我这一年来成长不大，几乎没变化，可是我觉得这一年来才是稍微有点儿进步的呀。
不过，经过这么一问，觉得反问环节也挺有意思，以后如果再有面试，反问环境可以多问些面试官关于我们自己的评价和看法，比如：上面说的您觉得经过这一小时的交流，我整体怎么样？如果像上面的面试官说最近一年进步不大，那么应该继续追问：那您觉得应该向什么方向去深入学习和思考比较好呢？态度诚恳一点就行，作为面试官人家还是乐意帮你指出不足之处的。
而上述的两个问题：我咋样和如何改，抛开offer不谈，这两个问题我觉得可以说是正常面试最大的收获了。而面试之前准备的那些知识毕竟比较零散，还是需要靠平时的积累来巩固。面试最重要的是让他人来评价你，以前没反问这两个问题的时候，这些评价人家面试官基本不会主动告诉你，只会整理一下然后录入到公司的人才管理系统，以供后续评价。但你现在反问一下，就可以得知这两条信息，这些评价信息对你来说才是最有用的，放在公司它只是大量候选人评价数据中的一份，可有可无。但对你来说却是个宝贵的信息，你可以据此从别人的视角来审视自己，这种换个角度的审视比自己平日里思考写总结来得客观。毕竟你表现出来的才是客观的，内在的其他没表达出来的方面只能说你表达能力不行，也是种缺点，需要反思之一。          如果没有进行这样的反问，就不能更加全面的得知别人对你的看法，也就错过发现自己弱点和改正的机会，以前面试反问环节都是傻傻的问一些没多大意义的问题。今后应当多注意，要懂得跟面试官“要回”属于你的那份评价信息。
以上就是面试过程中涉及的一些内容，属于流水记账式的列了一下，下面谈谈一些感想吧。
上述的感想也是比较离散、杂碎。还想再分享一下个人的一些学习经验，欢迎交流指正，正文如下。
技术面结束之后，今后对于基础的知识的学习可能没有这几天这么紧凑了，短时间填鸭式的学习大脑有点忙，不过这种感觉也还行，接触到了新知识有点成就感。当你在浏览面经的时候，里面提到的问题你觉得你都会了，是不是也有种自我肯定的情绪呢。
不过，面经里面提到的知识都是比较分散的，毕竟在那么短的面试时间内，面试官也只能随机抽样的检查，没时间做太全面的交流。这也导致我们看面经的时候都是比较分散的知识点，所以需要在今后，持续的学习，每段时间都专心研究某个知识系列，系统性的学习比较有效果，也比较全面。比如MySQL、Redis、ZooKeeper、MQ、JVM、OS、网络、算法等。
就算法来说，它是需要长时间的积累，短时间内的突击效果不是特别大，也累。所以今后对于算法的学习可以这么来：每日一题、或者之前做过的题目每天拿一两题出来再做一遍，重新思考，深入的多看看题解体会体会，不再是赶时间的去冲量。学会总结，理解每个算法与数据结构的含义，时间久了就能做到不变应万变。
另外，算法大部分还是属于背诵题，不少题目把模板写出来就完成的差不多了，只需要把细节处理一下就差不多了。时间久了，这些模板题就变成条件反射，此时对高级的数据结构也会有进一步的了解，思考速度和解题能力都有所进步。
OS和网络也差不多，这三者属于平日工作都很少直接能够体现出来的知识，平日工作用得少，又没去复习时间一久就会忘记，  用进废退，  人之常情嘛。所以才像上面说的，应该要坚持每日一题、或者时不时挑一些做过的题目重新做做，主要是为了保持手感，而做过的题目拿出来再做一遍也不会花太多时间，这样在日常工作之余也比较容易坚持下来。通过这段时间的面试准备，算是把算法入门，找到刷题的状态了，此后应该如上所说，坚持每日复习做做老题，偶尔周末时间充裕跟着“每日一题”做做新题，保持下去。
说回OS和网络，这类知识对于逻辑思维的要求没有算法题那么高，算法题属于“CPU相当密集型”，不练就不会。而OS和网络这类可能更多的是理解之后带点记忆的知识，做点输出存到笔记或者博客，定期来回顾回顾就行，属于“轻微IO密集型”，看完之后一段时间，也多少还有些印象，能够知个大概。每两年重看相关书籍，复习一下就可以巩固。
整个计算机体系，包括底层硬件组成原理、再上的操作系统和网络，这些之间其实都是有逻辑关系在的。可以OSI七层或者TCP/IP四层模型来看，它们就是个整体，全部理清之后，在大脑内可以存在相当长的时间。日常工作和生活中，只要遇到计算机相关的问题，大多都可以从这个整体来思考，这种思考也算是种回顾复习。
相比而言，算法算是比较离散的，排序、BFS/DFS、DP等之前的联系不是特别的紧密，至少没有像上述OSI七层
关于今后保持基础知识学习的想法，首先算法就如上述所言，每日一题、或者做过的题目重做，这样是为了不给本来就忙碌的工作日增加太大的压力，用简单的算法题来放松放松就行，搞几个AC找找成就感。
而对于基础知识，前期打算继续多翻阅翻阅面经，以面经中的题目为切入点，来复习（好像技术博客首页的文章也是个不错的切入点）。复习过程中再由点及面的去谷歌各种不明白，每个疑问点在输入谷歌之后，一次性多打开几个页面，多看多对比然后结合整理自己的理解，输出到日记或者博客中。比如，最近看到个比较经典的题目是MySQL的隔离级别，这个问题谷歌一搜，大部分都有提到MVCC、当前读、快照读、行锁、间隙锁，都什么知识啊，反正对于工作经验尚浅的我来说，已经触及到知识盲点了。也好，这些点都记下来，一个也别想跑，然后再分别谷歌这些知识点，可能又会引出一些更加底层的、你没见过的知识点，也没关系，继续记录继续搜。
今后可能又会看到MySQL索引相关的面试题，搜这个的时候，也许会碰到MyISAM、InnoDB、B/B+树、磁盘IO块与系统页、主索引与辅助索引、m叉树的分裂与合并……之类的，这样对MySQL的认知又多了一些。过些时日，你可能想着完整的去学一遍，这时候买本《高性能MySQL》来看，而且你之前学到的隔离级别、索引它里面都提到了，并且更加全面和仔细，从基本概念的出现到最终的常用场景，都给你列出来了。
上述之所以要先从面经题目切入学习是因为个人在看书的时候，总有种大而全的感觉，书毕竟比较理论，面面俱到，有用的没用的都会列出来。而面经上的题目是面试官结合当下工作内容提出的，有可能就是他最近工作中遇到的问题，直接抛给你看你怎么思考。那么这种面经题目就比较有意思，贴合实际工作，能够更好理解，经过面试官这么一折腾印象也更加深刻。这种零散的知识点学的差不多了，再来看书，就比较有感觉，知道书中哪些地方是重要知识，哪些地方其实没那么实用作为了解即可。
其实，日常工作中不管是用到的知识，还是遇到Bug，所涉及的知识点也是比较随机离散的，类似上面浏览面经过程中遇到的问题，看缘分。而在项目排期不那么紧的时间段里，找本书系统化的把之前的碎片化知识点串起来，就很有必要了，既是总结也是巩固。
关于学习的另一个观点：任何事物都是从小发展到大，学习的时候应该从它过去小的规模，跟着时间推移发展壮大，逐步去了解。比如学习Linux内核可以从早期低版本、JVM、Spring也类似，早期规模小，结构相对简单，比较容易理解。再逐步的按照发展需要，增加各种功能模块，直到当前最终版本。这样的学习路径可以清楚的知识系统中各个模块的由来与作用，也能够知道哪些是基础重要模块，而哪些是为了解决历史特定问题的模块，理清主线。
再举个例子，前些时候看到一篇关于限流的文章。文章一开始先从简单计数谈起，对于早期应用来说，简单的计数算法确实够用，后来随着业务的发展细化，简单计数粒度不够细，所以需要有类似滑动窗口这种效果的限流，也就衍生出了令牌桶和漏桶两种限流算法。
最后放上一个不错的记忆法——艾宾浩斯记忆规律，嗯就是小时候书上介绍的那个。新知识学习之后，分多次，每次不同间隔的去复习，大概十来次就能较好的将短期记忆转化为长久记忆了。而且学过之后，第二遍开始重新复习就简单多了，因为都理解过并整明白了，再重新复习更容易，更快，更省时。
之前考研的时候，背单词就隐约有用到这种方式。整本单词书，第一遍先花个三个月背一遍。之后，第二遍开始就越来越短，越来越快(这都什么虎狼之词)。前些时候背诵《道德经》也是类似，用了个APP，把每天背诵好的篇章截个图放到这个APP中，然后它会根据艾宾浩斯曲线的规律节点，定期提醒你复习。你要做的就是当它提醒的时候，打开快速默念一遍，默写一遍就可以勾掉了。还是那句话，第二遍越到后面，所花时间  就越来越短，越来越快。
以上，关于是学习方式和记忆方法的一些经验分享。最后再说句，任何工作和学习都是需要背诵记忆的，以此为基础来进行创作、推理和总结。比如何洁，他也是背过了大量的棋谱之后，再结合自身的想象力和逻辑能力，才有精湛的棋艺；比如钢琴家，也是需要背大量的琴谱、***，之后基于此再结合生活经验和灵感，来进行创作。巧妇难为无米之炊，脑中记忆的内容就是我们的大米，只有拥有大米，才有做出香喷喷的米饭的前提。并且大脑擅长的就是记忆，他就像是缓存，之前推理过的经历过的直接缓存在大脑中，之后如果再次遇见，直接查出来返回即可。
所以还要再啰嗦的说下关于人尽皆知的记忆方法，是想强调任何学习和工作，它首要做的就是先去记忆，背一些概念。所以学习新知识的时候，遇到太多的概念不用慌，先背下来，背不住的就记在小本本上，常回顾。背到一定量之后就能产生质变，之后各种脉络也就慢慢打开了。
加油，米娜桑！
Go开发岗
字节跳动面试

ㅤ普通"
【字节跳动】Go岗-教育业务后台开发,"1月28日 这次的二面结束后，面试官立马就安排了三面，一共持续了110分钟左右，以下问题是二面和三面的问题合集
TCP连接全过程；三次握手过程；二次握手行不行；TCP四次挥手过程；TCP的重传；
浏览器输入URL到渲染页面的全过程；
TCP拥塞控制方法；什么是TCP连接复用；TCP滑动窗口，发送窗口，接收窗口；
如果让你来实现客户端和服务端文件发送和接收的进度条，你会怎么实现；（我说的是通过已发送的字节数比上总字节数来实现进度条）；面试官接着问，你是如何判断已经发送的字节数的呢（我说通过tcp报文中的序号字段）
进程间通信方法和线程间通信方法
手写了两个SQL的查询。用到了order by, limit, having, count, avg, desc这些关键字；面试官问，SQL查询语句中关键字的执行顺序是什么
SQL查询语句是怎么查询的，即执行查询语句的过程
MYSQL的事务隔离级别；MYSQL ACID；MYSQL索引，主键索引，普通索引，唯一索引，回表；普通索引与唯一索引的区别；MYSQL最左匹配原则；
给你一个场景：有很多个人，数据库里存了他们的姓名，性别，年龄，问你用什么作为索引查询更快；
DNS的过程，DNS劫持是什么；
POST与GET的区别；
64匹马，8条赛道，问最少几次赛跑可以找到最快的4匹马
手写代码： 1. TOPK算法，找出一个未排序数组中第K大的数；
2.求一个二叉树中两个节点的最近公共父节点；
3.实现一个队列的数据结构，底层用定长数组来实现（我用Go,面试官让我用Slice实现。由于我用到了Slice的复制数组操作，面试官说不能使用复制操作，目的是考查使用环形数组来实现队列）
讲自己的个人项目，面试官会抓住其中几个点问问。
2月9日，收到 offer call !!!，成功拿到offer，各位朋友也加油!!!
Go开发岗
字节跳动面试

ㅤ普通"
【字节跳动】Go岗-data后端暑期实习,"22届暑期实习。二月末就投了，约的晚一点面试，多准备一下，就到3月末了。
一面结束后，直接进行二面
二面当晚约了hr面，效率属实高。
聊日常学习，校内情况，介绍了项目和难点，个人优缺点等
Go开发岗
字节跳动面试

ㅤ普通"
【字节跳动】Go岗-抖音后端实习,"（上面是现在能想起来的了，之后想起来会加）
leader面的，看着就很强
问我了不了解redis的底层实现（我不知道这个）
然后面试官相当于带着我推，推的过程中重要讲的是skiplist以及skiplist的modification等等。
算法题问的是LRU的缓存机制。
三面结束过了几天hr面确定给offer了….
Go开发岗
字节跳动面试

ㅤ普通"
阿里巴巴Go岗开发面经汇总,"本系列将提供阿里巴巴Go岗位历年面经，所有面经都是候选人面试之后根据回忆整理而出，大家可以通过面经来复习以及看看阿里巴巴面试难度。
为了方便大家复习，这些面试题的展示采取了右边面试题目，左边答案的方式，方便大家按需查看。
由于手机端不支持这种展示方式，当然，为了手机方便阅读，下面会贴出所有面试题答案链接，不过大家最好在 PC 电脑端阅读哈。
相关面试题还会持续更新，尽量补充完善起来，建议收藏帅地的网站哦。
1. 【阿里巴巴】Go岗-淘宝事业部社招
1. 【阿里巴巴】Go岗-淘宝事业部社招
2. 【阿里巴巴】Go岗-阿里云实习
2. 【阿里巴巴】Go岗-阿里云实习
3. 【阿里巴巴】Go岗-新鲜的大厂面经~
3. 【阿里巴巴】Go岗-新鲜的大厂面经~
4. 【阿里巴巴】Go岗-秋招六轮
4. 【阿里巴巴】Go岗-秋招六轮
5. 【阿里巴巴】Go岗-后端社招面试经历
5. 【阿里巴巴】Go岗-后端社招面试经历
6. 【阿里巴巴】Go岗-非科班菜鸡的实习
6. 【阿里巴巴】Go岗-非科班菜鸡的实习
7. 【阿里巴巴】Go岗-春招实习阶段性总结（已OC）
7. 【阿里巴巴】Go岗-春招实习阶段性总结（已OC）
8. 【阿里巴巴】Go岗-后端一二三面凉经::>_<::
8. 【阿里巴巴】Go岗-后端一二三面凉经::>_<::
9. 【阿里巴巴】Go岗-阿里云实习面经
9. 【阿里巴巴】Go岗-阿里云实习面经
10. 【阿里巴巴】Go岗-暑期后端开发
10. 【阿里巴巴】Go岗-暑期后端开发
Go开发岗
阿里巴巴面试

ㅤ普通"
【阿里巴巴】Go岗-淘宝事业部社招,"自我介绍
1.mysql的索引都有什么，说说区别（mysql不熟，说pg的）
2.用户在网页上输入一个url后发生了什么
3.讲讲https的过程
4.讲讲tcp 4次挥手过程
5.客户端4次挥手后处于什么状态，为什么是2msl
6.redis常用数据结构
7.java熟吗（不熟….）
8说说线程进程协程区别
9算法题：n个小朋友手拉手围成一个环，1-3报数，报到3的退出，最后剩下的是的小朋友的下标
10.提问环节
自我介绍，项目介绍
1.上来先说整体流程，前30min候选人主讲项目，面试官会有打断，后面时间是算法题和提问环节
2.先怼项目：
1）为什么要自研批处理程序，不用flink或spark streaming什么的
2）flink了解吗（不了解）
3.你们这项目好多单点，为什么不做高可用考虑（我能说海外小公司，没时间搞吗）
4.Raft协议的论文有看过吗，大体讲讲，还问了个什么细节记不清了，也没答上来
5.Gossip协议了解吗，说说原理和使用场景，为什么不能用它做主从选举
6.redis整体架构说说
7.redis的主从切换流程
8.用redis实现分布式锁有什么潜在的问题
9算法已经没时间了，而且前面被怼的不行，题主当时处在一个懵逼的状态
10.提问环节
Go开发岗
阿里巴巴面试

ㅤ普通"
【阿里巴巴】Go岗-阿里云实习,"40 min
自我介绍
项目
缓存穿透
分布式缓存：如果客户端想保存热点数据，如何设计？
热点数据如何从存储节点同步到客户端？是推送还是拉取？
更新数据库，如何保证缓存一致？
MySQL binlog
介绍一下go
go 的调度模型
介绍了一下部门
最近学习的东西
在线写一个LRU
如何加锁
50 min
在线写hashmap
介绍项目
http 请求和响应头
https 建立连接的过程
go GC
对阿里的看法
给了建议，代码细节需要多注意，平时要多做单元测试
60min
自我介绍
项目
服务注册中心
有没有做过被实际应用的软件项目
熟悉的技术
mysql为什么用B+树
如果硬盘的随机访问性能大幅提升，mysql 的存储结构能否优化
其他的存储结构？哈希表怎么存？
用哈希的方式，增删改查相比B+树有什么区别？
介绍项目组
三面结束后正好2周才联系hr面
自我介绍
读研吗
介绍一下校内成就？paper，奖学金，竞赛？
介绍技术栈
为什么选择golang
如何平衡学业和学习技术的时间
遇到技术难题怎么解决
倾向的城市？
还投了其他公司吗？流程到哪了？
期待在实习过程中获得什么
倾向哪种类型的公司？
生活中特别down的时候怎么调节
后续
hr面之后第二天就收到意向书了
许愿offer
Go开发岗
阿里巴巴面试

ㅤ普通"
